SquareFeet;Bedrooms;Bathrooms;Parking garage;Neighborhood;YearBuilt;Price
2082;4;2;2;Suburb;1966;1,64856E+16
1510;3;2;1;Suburb;2002;1,56928E+16
2705;2;1;3;Urban;1971;2,82458E+15
2499;5;1;1;Urban;2021;2,87592E+15
1699;5;1;2;Rural;1960;1,56314E+15
1975;3;3;3;Suburb;2016;2,79764E+15
2806;3;3;2;Suburb;1962;3,66494E+16
1189;3;3;2;Urban;2007;2,44539E+16
1957;4;2;3;Rural;1994;2,393E+15
1686;2;3;3;Urban;1994;2,49148E+16
1957;3;2;3;Rural;1992;3,04198E+15
1562;3;3;1;Rural;2013;8,93786E+15
2899;3;3;1;Rural;1988;4,27295E+15
2590;5;2;2;Suburb;1957;3,28502E+15
2267;3;2;3;Urban;1989;2,15867E+16
1831;2;2;2;Rural;2000;1,90059E+15
2528;5;1;3;Urban;1969;2,59751E+16
2154;2;1;3;Rural;2015;1,6681E+15
2508;5;3;3;Suburb;2007;3,52932E+15
2842;5;3;2;Urban;2014;4,22043E+16
1646;4;3;2;Suburb;1994;9,14236E+15
1020;5;1;1;Rural;1983;2,20054E+15
1840;5;3;2;Suburb;1961;2,16148E+16
1166;2;2;2;Suburb;1972;1,61587E+16
2297;2;2;1;Urban;2017;1,94968E+16
1387;3;1;3;Rural;2002;1,52829E+16
1600;4;2;3;Rural;2002;2,56726E+16
1315;5;2;1;Suburb;1989;9,80393E+15
1013;4;3;3;Urban;2002;1,64858E+16
1241;3;2;3;Urban;1985;1,99373E+16
1776;4;2;3;Urban;2014;1,81245E+15
2369;5;1;1;Suburb;1963;2,09701E+15
1564;2;2;3;Rural;1983;1,63053E+15
1897;4;2;2;Rural;1975;3,04005E+16
2363;5;3;1;Urban;2004;3,08831E+15
1091;3;3;1;Urban;2012;1,94294E+13
2390;5;3;1;Urban;2019;1,72777E+15
1955;4;1;1;Suburb;1995;1,97656E+16
2478;5;3;3;Urban;1986;2,73365E+16
2451;5;2;2;Rural;1972;2,16047E+16
1508;4;1;3;Urban;1965;1,49586E+16
1775;4;2;3;Suburb;1981;2,14171E+16
2966;3;2;3;Rural;1956;2,77419E+15
1034;5;3;3;Rural;1993;1,17295E+16
1205;2;1;3;Urban;1996;1,80761E+16
2104;4;1;1;Suburb;1954;2,02715E+16
2955;5;3;3;Rural;2012;3,78404E+15
2585;2;1;3;Suburb;1961;2,57776E+16
2895;2;2;3;Suburb;2021;2,66047E+16
2411;5;1;2;Rural;1958;3,37646E+16
2025;5;2;1;Rural;1993;2,40146E+15
2021;5;1;3;Suburb;1971;9,26416E+15
2413;2;1;1;Urban;1995;1,52038E+16
1565;5;3;2;Rural;1957;1,49849E+16
2129;4;3;3;Urban;2005;2,20384E+16
2795;2;1;1;Rural;1977;3,05659E+16
2845;4;2;2;Urban;1996;3,18297E+16
2500;4;3;1;Rural;1984;2,30749E+16
1702;5;3;1;Urban;1970;2,01926E+16
1401;4;3;1;Suburb;1982;1,49577E+16
1729;5;1;2;Rural;2019;1,71877E+16
2579;2;2;3;Urban;1997;2,45277E+16
1161;4;2;1;Suburb;2003;2,88571E+15
1201;5;1;1;Urban;1951;8,78046E+14
2981;3;2;2;Rural;1982;2,67127E+15
1995;5;3;1;Suburb;1965;2,21218E+16
1269;3;2;3;Suburb;1999;2,18785E+16
2886;5;3;2;Rural;1969;3,15607E+16
1815;3;3;3;Urban;2016;2,17968E+16
2294;4;1;2;Rural;1994;3,53344E+16
1455;3;3;2;Urban;1984;1,87003E+16
2485;4;2;3;Rural;1978;2,22855E+16
2750;4;2;3;Rural;1994;3,66549E+15
2275;5;2;3;Rural;1964;2,59473E+16
2016;4;2;2;Urban;1952;2,1244E+16
2725;2;2;3;Urban;2018;2,37067E+15
1295;3;3;1;Urban;1983;1,58358E+15
2748;5;1;1;Suburb;2020;2,5562E+16
1719;4;1;1;Suburb;1953;1,90659E+16
2772;3;2;3;Urban;1968;2,84985E+16
1337;3;3;2;Urban;1970;2,14741E+14
1878;2;1;1;Suburb;1964;1,28693E+16
2076;3;2;1;Rural;1966;1,84052E+16
1791;5;3;1;Rural;2003;2,42865E+16
2945;5;1;1;Urban;1986;2,95357E+16
1216;4;3;3;Rural;2003;1,07869E+16
1763;4;2;1;Urban;1971;2,0738E+16
1187;5;3;1;Suburb;1957;1,32829E+16
1379;3;1;2;Urban;1960;8,44937E+14
1492;3;1;1;Suburb;2019;5,33609E+15
2064;2;3;3;Rural;1958;2,96199E+15
2180;4;1;2;Urban;1951;2,73925E+14
1014;3;3;2;Urban;1981;2,04341E+15
2836;3;3;1;Urban;2000;2,28582E+16
1064;4;2;2;Suburb;1986;2,37384E+15
2880;5;2;1;Rural;1955;3,12246E+15
2862;3;3;1;Urban;1961;2,19409E+16
1520;2;1;3;Rural;2003;2,01335E+16
2367;3;2;3;Suburb;1995;2,21414E+16
2152;3;1;2;Rural;1982;3,0684E+16
1647;2;3;2;Urban;1967;1,26756E+15
2495;5;1;2;Urban;1987;3,28703E+15
2086;2;1;2;Suburb;2008;1,41074E+16
2162;2;3;2;Rural;1956;2,20712E+16
2522;4;2;3;Urban;1964;3,19177E+15
1592;3;2;2;Suburb;1950;2,45299E+15
1391;5;1;1;Rural;1995;5,11541E+15
2698;3;3;3;Urban;1981;3,14018E+15
1418;5;3;2;Suburb;1998;2,22904E+16
1288;2;2;2;Suburb;1959;1,15698E+16
1378;4;3;1;Suburb;1966;1,40715E+16
2796;2;3;2;Suburb;1969;1,78353E+16
2513;3;1;3;Suburb;2000;2,80022E+15
1230;4;1;1;Rural;1971;1,36418E+15
2017;4;2;1;Urban;1969;1,95804E+16
1040;3;2;3;Rural;2014;9,89334E+15
2051;5;1;2;Suburb;1953;1,85053E+15
1134;4;3;2;Urban;2003;1,60764E+16
1200;5;3;3;Suburb;2014;1,56394E+16
2863;5;1;3;Suburb;2000;3,33464E+15
1779;5;1;3;Urban;1960;2,11994E+15
1929;4;1;1;Rural;1976;2,5278E+16
2056;2;1;3;Urban;1975;2,8875E+15
2071;4;3;3;Rural;1966;1,85482E+16
1502;2;3;1;Suburb;1991;1,19671E+16
1406;4;2;2;Suburb;1997;1,48891E+15
2597;2;1;2;Rural;1982;2,3581E+16
2751;2;2;1;Suburb;2010;3,57765E+16
1804;4;3;3;Rural;1978;2,16771E+16
1098;5;2;3;Rural;2012;1,0258E+16
1683;5;3;2;Urban;1986;2,08774E+16
2895;2;3;3;Suburb;2005;3,02455E+15
1725;3;2;1;Urban;1965;2,08559E+16
2570;3;2;2;Urban;2005;2,76435E+15
1960;4;1;1;Suburb;1991;2,20787E+15
2762;4;3;2;Urban;1973;3,54268E+16
1612;4;1;3;Suburb;2018;1,42421E+16
2966;3;1;3;Suburb;1980;2,99147E+16
2485;5;3;2;Urban;1960;3,21647E+15
1642;4;2;1;Suburb;1951;2,16977E+16
2792;4;1;3;Suburb;2020;2,4318E+16
2028;5;1;2;Suburb;1984;1,84211E+16
2241;2;3;1;Suburb;2011;1,7578E+16
1502;4;2;1;Urban;2003;1,62271E+16
1766;3;2;2;Rural;2018;2,40727E+16
1397;3;1;2;Urban;2000;1,86901E+16
1870;4;3;2;Rural;1958;2,08692E+15
1794;3;1;1;Rural;1963;1,14334E+16
1392;5;2;1;Rural;2005;2,25281E+16
1206;2;1;1;Suburb;1983;1,10852E+16
2038;2;3;2;Rural;1950;2,06119E+16
2881;4;1;1;Suburb;1987;2,92218E+15
2577;4;2;3;Suburb;1966;2,09166E+15
1891;2;3;2;Suburb;1965;2,8322E+16
2484;2;3;1;Urban;1997;3,54539E+16
2714;4;3;3;Rural;1999;2,90954E+16
2598;3;3;3;Urban;2020;2,07378E+16
1863;4;3;2;Suburb;1990;2,67934E+15
1742;5;1;3;Urban;1993;2,35035E+16
2264;4;3;2;Suburb;1964;2,46612E+16
1563;4;2;3;Urban;2010;3,14868E+16
2020;4;3;2;Suburb;1999;2,78093E+16
1095;4;2;2;Suburb;2001;8,84434E+15
2923;4;2;2;Urban;2001;2,35396E+15
2757;4;2;1;Suburb;1985;2,80504E+15
1484;3;2;1;Rural;1982;2,73072E+15
2430;4;2;1;Urban;1994;2,52667E+16
1230;2;1;1;Urban;1951;1,33914E+16
1748;4;2;3;Suburb;1950;1,42718E+15
2678;3;2;3;Urban;2019;2,66197E+15
2194;5;2;1;Rural;1996;2,45434E+16
1540;2;1;3;Urban;2013;1,77796E+16
2059;4;3;3;Rural;1967;2,26582E+16
1524;4;2;2;Urban;2003;1,70745E+15
2183;2;1;1;Rural;1984;1,94059E+16
2862;4;1;1;Urban;2008;3,47187E+16
2722;3;1;1;Rural;1985;3,45979E+15
2266;4;3;2;Suburb;1975;3,23982E+15
2109;5;1;2;Urban;1994;1,8591E+16
2819;3;2;2;Urban;2018;2,31642E+16
1577;4;2;2;Rural;1979;1,81472E+15
1681;5;2;3;Urban;1982;2,47683E+16
1556;2;3;2;Rural;1972;1,7412E+16
2597;3;1;2;Suburb;1970;2,49931E+16
2976;4;2;3;Rural;2012;3,52084E+16
2012;4;2;3;Urban;2019;3,56257E+16
1645;2;2;3;Suburb;2017;1,15739E+16
1795;2;3;1;Rural;1985;2,65399E+15
2051;3;2;1;Rural;1986;2,05543E+16
2643;3;1;3;Suburb;1950;2,48156E+16
2579;3;1;1;Urban;1975;3,18796E+16
2363;4;3;1;Urban;1991;2,54479E+15
2821;4;3;1;Urban;1989;2,48782E+16
2981;3;3;1;Suburb;2002;3,20922E+15
2354;4;1;3;Rural;2011;2,65274E+15
2663;2;3;1;Suburb;1993;2,83302E+15
2529;5;3;2;Rural;1985;2,91196E+16
2371;4;1;3;Suburb;1953;2,40277E+16
2496;3;2;2;Rural;1970;3,16709E+15
2254;4;3;3;Rural;1966;2,67725E+15
1189;2;2;1;Suburb;1965;5,20338E+16
2248;3;2;1;Suburb;1990;1,57261E+16
2408;5;2;1;Suburb;2004;3,49887E+14
2400;3;2;1;Rural;2006;3,02582E+15
2306;3;3;2;Suburb;2015;2,6774E+16
2981;3;3;2;Rural;1987;2,96943E+15
1632;4;3;2;Rural;2005;2,11666E+15
1627;5;1;2;Suburb;1986;2,40463E+16
1972;2;1;1;Urban;1999;2,21901E+16
2768;4;2;2;Urban;2004;3,37511E+15
2282;5;1;1;Rural;1950;3,51439E+15
2382;5;2;1;Rural;2014;2,07719E+15
1709;4;2;3;Urban;2014;1,87379E+16
2479;3;3;2;Rural;1993;3,25105E+15
2434;5;3;3;Urban;1961;2,34065E+16
1648;2;1;1;Rural;2002;1,68976E+16
1317;4;3;2;Rural;2010;7,24914E+15
2700;5;1;3;Suburb;1962;3,97825E+16
2248;2;3;2;Urban;1991;2,2468E+15
2842;2;3;2;Rural;1995;2,9761E+15
2257;2;1;3;Urban;1991;2,11358E+16
1683;2;2;2;Suburb;1965;1,91156E+16
1663;4;1;2;Urban;1993;1,98444E+15
2998;2;3;1;Rural;2019;2,27603E+16
2850;4;2;1;Urban;1965;2,27375E+15
2397;2;3;3;Suburb;1971;3,11492E+14
2695;2;3;1;Urban;1984;3,41036E+15
2631;4;3;3;Urban;1998;3,29215E+15
2495;3;2;1;Urban;2020;1,89723E+15
2256;5;3;2;Urban;2013;3,15304E+15
2715;5;1;3;Rural;1980;2,29019E+15
2136;4;1;2;Urban;1950;2,18041E+15
2853;2;1;2;Suburb;1974;2,56368E+16
2520;4;2;2;Urban;1969;4,27589E+15
1441;2;1;2;Suburb;1957;1,61117E+16
1563;4;3;3;Suburb;2013;1,82495E+16
2291;5;2;1;Suburb;1965;2,76166E+14
2533;4;3;3;Suburb;2004;3,14517E+15
2830;5;3;2;Rural;1975;2,72012E+14
2409;5;3;3;Urban;2014;3,4225E+16
2410;5;1;2;Urban;1977;2,58024E+16
2136;4;1;3;Rural;1995;1,1546E+16
2636;3;2;3;Urban;2003;2,4042E+16
2648;4;2;1;Rural;2003;3,88952E+15
1951;4;1;2;Suburb;2021;2,50119E+15
2104;3;1;1;Urban;1998;2,10587E+16
1698;3;3;3;Suburb;1995;2,34244E+14
1112;5;1;2;Urban;1950;6,9294E+15
1001;2;3;1;Urban;1993;1,63838E+16
1641;2;1;2;Urban;1953;2,52128E+16
1219;5;3;3;Suburb;1980;1,17989E+16
2589;4;1;1;Rural;1964;3,13948E+15
1854;2;1;2;Suburb;1950;2,54919E+16
2759;4;2;1;Rural;2021;1,97522E+16
2248;3;2;1;Urban;1955;1,98494E+14
1384;3;3;3;Urban;1976;1,52205E+15
2426;5;2;3;Urban;1975;3,08529E+15
2661;4;2;1;Urban;2015;3,08855E+16
2153;5;1;2;Suburb;1962;2,46861E+16
2076;2;3;2;Rural;2020;2,25867E+15
2707;2;2;2;Rural;1983;2,49678E+16
1729;2;2;3;Rural;1982;1,08636E+16
2695;4;1;3;Urban;1989;2,99819E+16
2733;5;1;1;Suburb;1992;2,90095E+14
2439;5;1;2;Urban;1956;2,72078E+14
1246;2;3;1;Rural;1988;1,30941E+16
1835;5;1;1;Suburb;2015;2,41849E+15
2462;3;3;1;Suburb;1985;2,06273E+16
1202;3;1;2;Urban;2013;1,55086E+15
2207;3;2;2;Suburb;1953;1,69743E+16
1122;3;3;2;Suburb;1971;1,48324E+14
1400;5;1;2;Suburb;2020;1,8446E+16
1766;3;1;3;Urban;1953;1,38095E+15
1293;3;2;1;Urban;2013;2,05415E+16
1279;3;2;2;Suburb;1971;1,83265E+15
2860;3;2;2;Urban;2011;2,84616E+14
1883;3;1;1;Suburb;1989;1,81948E+16
2633;4;2;1;Rural;1969;2,84004E+16
1197;4;2;1;Rural;1958;9,09598E+15
1981;3;3;2;Suburb;2014;1,98755E+16
2930;3;3;1;Rural;1972;3,7046E+15
2534;5;3;3;Rural;1984;3,48379E+16
1751;3;1;1;Rural;2008;2,70704E+15
1143;2;3;1;Suburb;1963;1,68932E+15
1608;4;1;3;Urban;1993;1,89126E+16
2224;3;2;1;Suburb;1971;2,18169E+16
2147;4;1;1;Suburb;1977;1,9922E+16
1186;3;1;1;Urban;2008;1,2996E+15
2349;2;2;3;Suburb;1996;2,81508E+15
1463;3;3;1;Suburb;2017;1,69379E+16
2372;4;3;2;Suburb;2019;2,48599E+16
2794;4;3;2;Rural;1966;4,11678E+15
1659;4;2;3;Suburb;1980;1,19033E+15
1763;5;1;2;Suburb;1963;2,30075E+15
1954;4;2;3;Urban;1998;1,22605E+16
2955;3;2;2;Rural;2016;2,96999E+14
1402;2;2;1;Rural;1970;1,0947E+16
2369;2;2;1;Suburb;1962;2,46212E+15
2986;3;1;1;Rural;1999;3,10583E+15
2534;5;3;2;Rural;2017;2,33757E+15
1146;3;3;2;Urban;1961;1,00102E+16
2171;4;2;2;Urban;1997;1,99325E+16
1863;5;1;2;Rural;2013;3,31027E+16
2734;3;2;2;Urban;1964;2,31041E+16
2843;5;1;3;Suburb;1965;3,3353E+15
1488;2;2;2;Urban;2021;6,10927E+16
1928;3;3;1;Suburb;1999;2,05778E+16
2959;3;3;1;Urban;1990;3,84571E+16
2663;2;2;1;Rural;1953;3,39773E+15
1550;5;3;3;Suburb;1969;1,86745E+16
1337;2;2;2;Urban;1957;1,85559E+15
1871;5;1;3;Urban;2017;2,13894E+16
1640;3;1;1;Suburb;1996;1,80978E+15
2802;5;1;3;Urban;1982;2,43012E+16
2976;5;1;1;Rural;1954;2,65076E+14
1472;4;2;1;Suburb;2017;1,63315E+16
2969;4;3;2;Rural;1990;3,84847E+14
1150;4;1;2;Suburb;2010;1,90479E+16
2438;2;3;1;Suburb;1973;2,04129E+16
2321;2;2;1;Suburb;1976;2,4993E+16
2634;4;3;2;Suburb;1978;3,7275E+14
1262;3;3;2;Rural;2016;1,8965E+16
2787;3;3;2;Rural;1986;3,08299E+16
1143;3;2;2;Suburb;2002;9,57841E+15
1345;2;2;1;Suburb;1951;1,65456E+16
1623;5;2;3;Rural;1986;2,36532E+16
2016;2;3;2;Suburb;2021;2,12191E+14
2595;4;1;3;Suburb;2014;2,9828E+15
1880;5;1;1;Rural;1997;1,72765E+15
1001;3;3;1;Rural;1998;1,51917E+16
1896;2;1;3;Rural;1996;1,96497E+16
2327;2;1;3;Urban;1953;2,12603E+16
1253;4;3;2;Suburb;1952;2,05828E+16
2675;3;2;3;Rural;1985;3,50608E+15
1452;2;1;2;Suburb;1955;6,40559E+15
2060;2;2;3;Urban;1983;2,02645E+16
2183;5;1;2;Rural;2001;2,15636E+15
2014;2;3;3;Rural;1980;2,10337E+15
1008;5;3;2;Suburb;1983;1,61064E+16
2256;2;2;3;Suburb;1991;1,62733E+16
2122;3;2;1;Rural;1997;2,8319E+15
2682;4;2;2;Rural;2005;2,57019E+16
1815;3;2;2;Suburb;1967;1,61315E+16
1207;4;3;2;Suburb;1963;1,71345E+16
2154;2;3;1;Rural;2018;3,01758E+15
1403;3;3;3;Urban;2007;1,86512E+16
1151;5;2;3;Suburb;2019;1,47962E+16
1053;4;3;2;Suburb;2005;9,68561E+14
2143;4;3;2;Suburb;2002;2,41976E+16
2696;2;1;3;Rural;2018;2,56547E+16
2943;4;1;2;Rural;2009;2,45612E+16
1627;4;1;2;Rural;1981;1,92617E+16
1586;4;2;3;Suburb;1996;2,34538E+16
2648;2;2;2;Suburb;1971;2,66526E+15
2991;3;3;2;Urban;1953;4,11275E+15
2443;2;3;2;Rural;1974;2,41617E+16
2445;5;2;2;Rural;2010;2,30464E+16
1103;4;1;1;Suburb;1961;2,49886E+16
2875;4;3;1;Suburb;1980;3,20712E+16
1253;3;1;2;Urban;1950;1,31536E+15
2250;4;3;1;Suburb;2010;2,58682E+16
2135;3;1;2;Suburb;1955;2,36722E+16
1509;4;3;3;Suburb;1971;1,52418E+16
2496;4;1;2;Urban;1961;2,77449E+15
1098;2;1;1;Urban;1972;9,76396E+15
1152;2;2;2;Urban;1984;6,88647E+15
2884;5;3;1;Urban;1963;2,92602E+15
1913;3;1;3;Urban;1979;1,63127E+16
2919;5;2;2;Rural;1971;3,16117E+15
1877;2;3;2;Suburb;1965;1,73592E+16
1337;3;2;3;Urban;2020;2,45241E+16
2729;2;1;3;Urban;1964;2,99136E+16
1821;3;3;2;Urban;1951;1,02621E+16
2186;4;1;2;Urban;1971;1,74741E+15
2743;5;1;1;Suburb;2012;3,0384E+16
1956;5;2;3;Suburb;1964;2,55501E+16
2704;3;1;1;Rural;1968;3,05226E+15
1160;5;3;3;Suburb;1970;1,74049E+15
2603;2;2;3;Urban;1976;2,4037E+15
1800;5;1;1;Urban;1968;3,10733E+15
1397;3;1;3;Urban;1975;1,2568E+16
2300;5;1;3;Urban;1998;3,03254E+15
1815;5;2;1;Suburb;2007;1,37932E+15
2939;2;3;2;Suburb;2016;2,38181E+16
2527;4;2;2;Rural;1974;2,99144E+15
2919;2;1;3;Suburb;1971;3,40122E+15
2415;5;2;3;Urban;1963;2,30193E+16
2158;5;1;1;Urban;1958;3,00495E+16
2218;4;2;1;Suburb;1971;2,6756E+15
1400;4;1;3;Rural;1964;1,73748E+16
1639;2;2;2;Rural;1989;1,98113E+15
2056;4;1;2;Suburb;2014;2,37224E+16
1687;2;1;3;Suburb;2002;1,30384E+16
1459;3;2;3;Suburb;1980;2,48587E+16
1954;5;2;1;Urban;1959;2,68827E+15
2906;4;1;1;Suburb;1983;3,07426E+16
1469;3;3;2;Suburb;1986;2,24294E+16
2398;3;1;3;Rural;1962;3,35992E+16
2045;2;1;1;Rural;1987;2,65649E+15
1749;2;3;1;Urban;1994;2,18961E+16
2693;4;1;2;Rural;1959;2,57513E+14
1037;2;2;1;Rural;1971;8,66193E+14
1229;3;2;2;Suburb;2010;4,87801E+15
2388;3;3;2;Rural;1987;2,74896E+16
1562;5;1;2;Rural;2007;1,81238E+16
1437;3;2;1;Rural;1975;4,90524E+15
2799;4;1;1;Rural;1998;1,82649E+16
2306;5;3;1;Rural;2011;3,47942E+16
1026;2;2;2;Rural;1958;3,1998E+15
1225;5;3;2;Rural;2009;1,81103E+15
2300;3;1;2;Rural;1979;1,72216E+15
1797;4;1;3;Urban;1970;2,73263E+15
2632;2;1;3;Suburb;1999;3,06987E+16
1283;2;3;1;Rural;1978;1,72934E+16
1878;3;2;1;Suburb;1989;1,59685E+16
1959;4;3;1;Rural;1966;2,44916E+15
2504;3;2;2;Urban;2017;2,50928E+16
1452;3;1;3;Rural;2013;8,62763E+15
2019;4;1;3;Urban;1972;2,0903E+16
2852;3;3;1;Rural;1956;2,6706E+15
1815;4;2;1;Rural;1983;1,58868E+16
1658;4;1;3;Suburb;1973;2,00255E+16
2539;3;1;3;Rural;1956;1,97039E+16
1546;3;3;2;Rural;1957;2,51427E+15
2215;5;3;1;Urban;1952;2,98799E+15
2072;2;2;1;Suburb;1953;2,09615E+16
2535;2;1;2;Rural;2012;3,43628E+16
1016;4;2;1;Suburb;2015;8,67427E+15
2195;5;2;3;Suburb;2018;2,60505E+16
2243;4;2;1;Rural;1959;2,67664E+15
1157;5;3;3;Rural;2012;8,71379E+13
1476;4;2;2;Rural;1986;2,17625E+15
2069;2;2;2;Rural;2021;1,7962E+16
2396;5;2;1;Rural;1952;3,04273E+15
1517;3;3;2;Suburb;1978;1,80447E+15
1098;3;3;3;Urban;2011;9,68102E+15
2915;2;1;2;Suburb;1982;2,93526E+16
2768;5;3;2;Rural;2009;3,33028E+15
2060;3;3;2;Suburb;1991;2,61561E+16
1279;3;2;1;Urban;2011;6,08265E+14
2372;3;1;2;Suburb;1955;2,78442E+15
1496;2;3;1;Rural;1998;1,23828E+16
1301;4;1;1;Rural;2021;8,85861E+14
1180;3;2;3;Rural;1992;1,34444E+16
1606;3;3;3;Urban;1958;1,36925E+16
2122;4;2;3;Rural;2000;2,34165E+16
1699;3;2;2;Rural;1963;1,50305E+16
1992;5;1;1;Rural;1973;2,4005E+15
2139;3;3;2;Rural;2021;2,77543E+15
1190;4;1;1;Suburb;1982;1,97241E+16
1252;2;2;1;Rural;1978;1,01806E+16
1980;2;3;2;Suburb;1951;1,97811E+15
1927;5;2;1;Urban;2001;1,72279E+16
2184;3;1;3;Suburb;1994;2,05236E+16
2279;3;1;1;Suburb;1987;2,06409E+16
2346;4;2;1;Suburb;1994;2,7944E+13
1127;4;1;2;Suburb;1965;1,27175E+16
1017;5;1;1;Suburb;1996;1,27458E+16
2816;5;2;2;Suburb;1974;3,56064E+15
2758;3;3;2;Urban;2006;3,44788E+16
1565;3;3;3;Rural;1968;1,53283E+16
1569;5;3;2;Urban;1987;2,3126E+15
2346;2;2;2;Suburb;2015;2,9794E+16
2895;2;2;2;Suburb;1956;3,48537E+15
1685;2;1;2;Suburb;1969;1,45097E+16
2815;2;3;1;Urban;1953;3,16533E+15
1625;5;1;3;Suburb;1964;2,73167E+16
2311;4;2;2;Urban;2013;3,43467E+16
2966;2;3;3;Suburb;2006;2,58866E+14
1853;5;2;3;Suburb;1999;1,97763E+16
2686;2;1;3;Urban;1966;1,96431E+16
1961;3;1;1;Urban;1965;1,92272E+15
2662;2;2;3;Urban;1952;2,52806E+16
1154;5;2;1;Urban;1994;2,00755E+16
1489;3;3;2;Suburb;1993;2,25168E+16
2409;3;2;3;Suburb;2011;3,33109E+15
1784;2;1;1;Rural;1958;2,53463E+15
2127;2;1;3;Suburb;2009;2,73921E+16
2952;3;2;1;Suburb;2006;2,305E+16
2416;4;2;3;Suburb;2010;3,61696E+16
2834;5;3;1;Suburb;2013;3,1979E+16
1245;5;1;2;Suburb;1966;1,74765E+14
2199;5;1;3;Rural;2007;3,00719E+14
2062;5;1;2;Urban;1996;2,61327E+16
2500;5;2;3;Suburb;2001;3,63562E+16
2705;3;1;2;Suburb;1967;2,51735E+15
1758;5;2;3;Urban;1986;2,80966E+15
1537;4;3;1;Urban;2019;1,10904E+16
2890;4;2;3;Rural;1966;3,35743E+16
2841;2;3;3;Rural;1952;2,76296E+16
1920;2;3;2;Rural;1982;2,22212E+16
1407;2;2;3;Urban;1956;2,21698E+16
1524;2;3;3;Suburb;1951;2,23582E+16
1827;3;2;1;Urban;1983;2,06213E+16
2529;4;1;1;Suburb;1953;2,14946E+16
1902;3;2;3;Urban;1998;1,52143E+16
2848;4;3;2;Urban;1966;3,7648E+15
1035;3;3;1;Urban;2020;1,35298E+15
1684;4;1;2;Urban;1961;1,60232E+16
1019;2;2;3;Suburb;1993;7,08554E+15
1320;4;1;1;Suburb;1998;1,83737E+16
2799;2;3;2;Suburb;2018;3,88319E+14
1511;4;2;2;Suburb;1966;1,65074E+16
1399;3;3;1;Rural;1987;2,1321E+16
1653;5;2;1;Rural;2005;1,40383E+16
1971;4;1;3;Urban;2010;2,60495E+16
2906;3;1;1;Suburb;1981;3,85305E+15
1470;5;3;1;Suburb;2005;1,44255E+16
2166;3;1;1;Urban;1972;2,77469E+15
2115;5;1;2;Urban;2015;2,52361E+16
2377;2;3;3;Urban;2016;2,56203E+15
1833;4;3;1;Suburb;1954;1,39344E+16
2823;3;3;3;Suburb;1972;2,46155E+15
1726;4;2;1;Suburb;2000;2,18373E+16
2982;2;3;3;Rural;1974;3,0984E+16
1853;2;2;3;Urban;1973;2,19293E+16
1050;4;3;2;Suburb;1979;2,03482E+16
2688;3;2;2;Urban;2000;2,20036E+16
2721;3;3;3;Rural;1979;3,65466E+16
1574;3;2;1;Urban;2021;1,25013E+16
2213;4;1;2;Suburb;1995;2,34127E+16
2148;3;3;3;Urban;2006;2,13331E+15
1149;3;3;3;Suburb;1978;9,16772E+15
1313;5;2;3;Rural;2011;2,62435E+15
1569;3;1;2;Rural;1978;1,8436E+16
2365;2;1;2;Suburb;1986;3,2382E+15
1304;3;2;2;Rural;1989;9,78086E+15
2715;4;3;1;Urban;2004;2,98076E+15
1681;4;1;1;Rural;1975;1,28702E+16
1837;3;3;2;Rural;1976;1,2973E+16
2806;4;2;3;Rural;2000;3,26637E+15
